Zip Code,Population
14801,"5,275"
13605,"5,259"
14131,"5,252"
12025,"5,244"
13637,"5,212"
13159,"5,204"
14590,"5,191"
14867,"5,149"
14505,"5,138"
10594,"5,110"
13733,"5,076"
10928,"5,071"
14551,"5,063"
13407,"5,042"
11952,"5,040"
11944,"5,037"
14261,"5,033"
11579,"5,033"
14070,"5,001"
12522,"4,959"
14423,"4,947"
14727,"4,925"
10560,"4,918"
10576,"4,891"
10993,"4,888"
12946,"4,872"
14512,"4,852"
11804,"4,835"
12816,"4,824"
14572,"4,817"
14802,"4,814"
13053,"4,794"
13452,"4,792"
14787,"4,771"
10962,"4,767"
14510,"4,754"
12883,"4,744"
12157,"4,713"
11978,"4,705"
12027,"4,693"
12887,"4,691"
13624,"4,650"
12992,"4,615"
13830,"4,597"
13068,"4,592"
13326,"4,586"
10524,"4,578"
12498,"4,572"
14891,"4,561"
12053,"4,550"
11514,"4,544"
12580,"4,542"
12790,"4,537"
14750,"4,508"
13074,"4,496"
12123,"4,457"
14546,"4,450"
12885,"4,444"
14080,"4,444"
11697,"4,429"
13849,"4,427"
10987,"4,411"
14433,"4,404"
14772,"4,394"
14737,"4,376"
12845,"4,370"
12545,"4,338"
13082,"4,314"
10925,"4,313"
13803,"4,273"
10548,"4,254"
13838,"4,251"
10916,"4,238"
10921,"4,231"
11954,"4,223"
12594,"4,222"
14871,"4,207"
14882,"4,191"
13833,"4,190"
14883,"4,184"
13460,"4,182"
14532,"4,165"
13084,"4,159"
14485,"4,153"
11568,"4,144"
13811,"4,127"
10006,"4,096"
12487,"4,035"
12758,"4,025"
12148,"4,023"
14067,"3,976"
14042,"3,967"
14416,"3,960"
13140,"3,959"
11715,"3,936"
12404,"3,935"
12037,"3,926"
12944,"3,910"
10998,"3,889"
13317,"3,888"
13417,"3,880"
12196,"3,880"
14202,"3,862"
13308,"3,862"
12015,"3,852"
13456,"3,848"
12134,"3,846"
12083,"3,844"
10963,"3,842"
10464,"3,828"
14548,"3,821"
12871,"3,813"
13748,"3,738"
13033,"3,732"
14543,"3,717"
12827,"3,716"
14541,"3,713"
10004,"3,711"
13655,"3,694"
13795,"3,681"
13439,"3,681"
12809,"3,669"
13116,"3,653"
14125,"3,648"
13030,"3,635"
13132,"3,626"
14823,"3,610"
11749,"3,600"
12122,"3,596"
14738,"3,578"
13634,"3,570"
13668,"3,563"
11796,"3,560"
12443,"3,559"
13354,"3,554"
12526,"3,548"
13667,"3,476"
14719,"3,448"
13862,"3,440"
13491,"3,431"
10926,"3,416"
13408,"3,391"
10974,"3,382"
12413,"3,368"
14733,"3,367"
12865,"3,356"
13480,"3,321"
13080,"3,313"
14062,"3,266"
14712,"3,262"
13329,"3,256"
14604,"3,251"
12075,"3,248"
14025,"3,243"
11719,"3,235"
11732,"3,228"
13167,"3,215"
12543,"3,190"
14111,"3,186"
11718,"3,179"
14627,"3,159"
12484,"3,155"
12547,"3,144"
14724,"3,115"
14757,"3,114"
12514,"3,107"
14172,"3,091"
12520,"3,081"
13478,"3,078"
13743,"3,077"
12458,"3,074"
11724,"3,073"
13438,"3,065"
10958,"3,054"
13461,"3,047"
12788,"3,037"
12846,"3,013"
12449,"3,010"
13411,"2,999"
13691,"2,990"
